account_id,customer_id,product_type,currency,balance,opened_date,closed_date,status
ACC100001,1,salary,KZT,163998.48,2024-11-21,,active
ACC100002,1,debit,EUR,826245.74,2023-06-11,,active
ACC100003,2,deposit,KZT,847727.45,2026-03-06,,active
ACC100004,2,savings,EUR,1041302.41,2026-03-12,,active
ACC100005,2,savings,KZT,932903.92,2026-02-21,,active
ACC100006,3,debit,EUR,28897.68,2024-12-13,2026-02-21,closed
ACC100007,3,deposit,EUR,46842.62,2026-04-25,,active
ACC100008,3,savings,KZT,45389.89,2025-09-01,2026-03-17,closed
ACC100009,4,salary,EUR,1369966.04,2025-04-26,,active
ACC100010,4,deposit,USD,32451.64,2025-10-30,2026-04-28,closed
ACC100011,5,debit,USD,879907.26,2025-09-15,,active
ACC100012,5,salary,USD,63417.27,2025-01-13,,active
ACC100013,6,savings,USD,660527.16,2021-07-28,,active
ACC100014,6,savings,KZT,1331798.82,2022-07-17,,active
ACC100015,6,debit,EUR,1487835.46,2024-06-23,,active
ACC100016,7,savings,KZT,754742.0,2026-04-21,,active
ACC100017,8,deposit,KZT,242043.33,2023-03-01,,active
ACC100018,9,salary,KZT,237347.6,2024-05-14,,active
ACC100019,9,savings,KZT,36484.64,2022-01-11,2023-11-12,closed
ACC100020,10,savings,USD,1051594.12,2024-12-07,,active
ACC100021,11,savings,EUR,43182.46,2025-08-20,2026-04-26,closed
ACC100022,12,deposit,KZT,39731.22,2025-02-22,2025-11-02,closed
ACC100023,12,salary,EUR,5479.97,2025-08-14,2025-11-22,closed
ACC100024,13,salary,EUR,283037.5,2025-09-20,,active
ACC100025,14,deposit,USD,957625.27,2024-10-23,,active
ACC100026,14,savings,USD,920632.2,2026-02-16,,active
ACC100027,14,deposit,KZT,29773.13,2023-05-21,2026-01-23,closed
ACC100028,15,deposit,KZT,1134959.44,2025-02-13,,active
ACC100029,15,deposit,EUR,847368.52,2025-07-31,,active
ACC100030,16,debit,KZT,16281.88,2025-11-16,2026-02-14,closed
ACC100031,17,deposit,EUR,35003.86,2025-09-05,,active
ACC100032,18,debit,KZT,1459049.03,2026-04-18,,active
ACC100033,18,debit,EUR,31968.44,2026-04-10,2026-04-26,closed
ACC100034,18,savings,KZT,311664.66,2026-03-21,,active
ACC100035,19,debit,KZT,1099695.22,2025-10-25,,active
ACC100036,19,savings,KZT,937477.6,2024-08-22,,active
ACC100037,20,salary,USD,972694.39,2024-09-25,,active
ACC100038,20,salary,USD,1089706.87,2026-04-21,,active
ACC100039,21,deposit,KZT,665532.47,2023-11-26,,active
ACC100040,21,deposit,EUR,424035.49,2024-08-13,,active
ACC100041,22,deposit,EUR,20401.85,2025-12-01,2026-02-14,closed
ACC100042,23,debit,EUR,188501.38,2024-07-15,,active
ACC100043,23,deposit,KZT,328049.4,2025-04-05,,active
ACC100044,24,savings,USD,41109.54,2024-10-21,2025-06-02,closed
ACC100045,25,deposit,EUR,1367962.07,2024-06-14,,active
ACC100046,25,savings,KZT,900162.2,2024-01-21,,active
ACC100047,25,savings,EUR,1419691.06,2022-12-21,,active
ACC100048,26,debit,USD,1197032.64,2024-08-07,,active
ACC100049,27,deposit,KZT,8649.2,2025-04-09,2025-08-31,closed
ACC100050,27,debit,KZT,1064073.38,2025-10-08,,active
ACC100051,28,salary,USD,628936.58,2022-10-17,,active
ACC100052,29,savings,USD,39877.23,2024-09-20,2025-11-29,closed
ACC100053,30,salary,KZT,1300453.68,2026-01-10,,active
ACC100054,31,savings,KZT,398064.77,2025-06-08,,active
ACC100055,32,debit,KZT,811281.49,2025-11-11,,active
ACC100056,32,deposit,EUR,722209.08,2025-03-05,,active
ACC100057,32,savings,KZT,33049.1,2025-11-09,2026-01-19,closed
ACC100058,33,salary,KZT,735291.27,2026-04-24,,active
ACC100059,34,deposit,USD,1313328.96,2025-03-25,,active
ACC100060,34,deposit,USD,319678.75,2024-07-24,,active
ACC100061,34,debit,EUR,454611.35,2023-03-26,,active
ACC100062,35,salary,KZT,834919.81,2024-03-29,,active
ACC100063,35,salary,EUR,4296.4,2025-12-13,,active
ACC100064,36,salary,KZT,1184027.63,2024-12-24,,active
ACC100065,36,deposit,USD,58811.58,2026-04-08,,active
ACC100066,37,savings,USD,950737.94,2025-11-30,,active
ACC100067,37,debit,KZT,1403651.49,2025-12-09,,active
ACC100068,37,deposit,EUR,8729.71,2025-06-09,2026-02-07,closed
ACC100069,38,salary,EUR,1295599.87,2025-11-25,,active
ACC100070,39,savings,USD,70971.14,2025-04-25,,active
ACC100071,39,debit,KZT,1341613.21,2024-07-25,,active
ACC100072,39,savings,USD,1438154.95,2026-03-04,,active
ACC100073,40,salary,USD,1016173.88,2025-11-09,,active
ACC100074,40,debit,EUR,370909.87,2023-03-31,,active
ACC100075,41,salary,USD,818792.18,2026-01-19,,active
ACC100076,41,savings,EUR,22015.4,2024-10-08,2025-09-29,closed
ACC100077,41,debit,EUR,26008.08,2024-08-01,2025-09-15,closed
ACC100078,42,debit,EUR,610668.99,2025-11-03,,active
