customer_id,full_name,phone,email,birth_date,city,segment,registration_date,status
1,Ларионова София Богдановна,013389083863,blakeerik@example.com,1967-05-18,Shymkent,mass,2022-07-20,active
2,James Howard,078161849593,kornilfedorov@example.org,1977-12-30,Karaganda,mass,2026-02-10,blocked
3,Henry Santiago,832764835030,carl95@example.org,1982-04-17,Astana,mass,2024-07-03,blocked
4,Феликс Евсеевич Дементьев,532871012269,dcarlson@example.net,1982-12-10,Karaganda,premium,2022-01-15,active
5,Белякова Ираида Львовна,627048281489,sofija_28@example.net,2007-02-10,Almaty,mass,2024-09-22,inactive
6,Sandra Parker,911718227824,sarahcampos@example.net,1991-06-25,Shymkent,mass,2021-06-03,active
7,Joseph Martinez,509839301031,palmerjoshua@example.com,1996-04-08,Shymkent,affluent,2026-04-21,active
8,Cheryl Davis,667010651333,robertramirez@example.org,1988-12-21,Karaganda,mass,2022-07-16,inactive
9,Жанна Викторовна Исакова,360260647468,lavrrjabov@example.org,1984-12-08,Karaganda,mass,2021-07-30,blocked
10,Sarah Moore,191361939909,sarah35@example.org,1997-09-27,Astana,mass,2021-07-29,active
11,Ефремов Феоктист Бориславович,842513542784,ladimir_2022@example.org,1982-12-13,Atyrau,mass,2023-08-12,inactive
12,Эрнест Глебович Терентьев,487401640052,ustin2009@example.net,1977-06-07,Shymkent,mass,2025-01-14,active
13,Brittany Anderson,053315869232,whitesandra@example.com,1971-01-10,Almaty,affluent,2024-01-20,active
14,Елена Геннадьевна Зыкова,433036541458,wilsontara@example.org,1977-07-13,Atyrau,premium,2023-03-28,active
15,William Wilson,,elizabeth56@example.net,1967-12-07,Karaganda,mass,2023-01-20,active
16,Stephanie Gilbert,804436995777,donnacampbell@example.net,1989-08-11,Astana,mass,2023-06-06,active
17,Вероника Алексеевна Соловьева,917693676320,gregoryrubio@example.net,1970-04-01,Karaganda,mass,2024-09-09,active
18,Ростислав Жоресович Селиверстов,872774348734,izmail45@example.com,1968-06-08,Atyrau,mass,2025-11-30,active
19,Голубева Наина Наумовна,603669096705,vmedina@example.net,1972-02-20,Karaganda,mass,2023-03-29,blocked
20,Онуфрий Владленович Одинцов,980699016272,dmurphy@example.com,1986-10-31,Shymkent,mass,2023-07-04,active
21,Bradley Smith,310033092327,kira1984@example.com,1998-04-19,Almaty,mass,2022-09-19,active
22,Валентина Харитоновна Козлова,631931491905,casey50@example.com,1991-10-10,Atyrau,affluent,2025-03-20,active
23,Jessica Gross,769453147379,anthony52@example.com,1970-10-04,Atyrau,affluent,2024-07-03,active
24,Kellie Lee,,wtran@example.com,1981-03-25,Almaty,mass,2023-01-10,blocked
25,Nathan Stewart,374989413435,ericksondavid@example.org,1981-02-06,Shymkent,mass,2022-09-05,active
26,Adam Mitchell,520471167190,borislav31@example.net,1989-07-26,Shymkent,affluent,2024-07-07,active
27,Jeremy Dalton,990913341232,smirnovosip@example.com,1991-10-16,Shymkent,affluent,2025-03-16,blocked
28,Jordan Mcdaniel,618324210249,smartinez@example.com,1978-07-23,Astana,affluent,2022-10-07,blocked
29,Лидия Юльевна Максимова,399049027874,ecosta@example.com,2005-12-01,Atyrau,mass,2023-07-07,active
30,Jon Bates,,mitofan_2005@example.com,1980-04-28,Shymkent,mass,2025-08-13,active
31,Нинель Рудольфовна Ильина,248086131712,robert77@example.org,1998-03-31,Almaty,mass,2022-08-29,inactive
32,Ирина Николаевна Александрова,449972787558,,1989-06-24,Karaganda,mass,2022-04-12,active
33,Patrick Thornton,270289517187,,1990-05-05,Astana,mass,2025-08-09,blocked
34,Sarah Phelps,780913431611,alekse05@example.org,1986-01-16,Astana,affluent,2023-01-07,active
35,Rebecca Jackson,937923747407,zuevmechislav@example.net,1981-05-19,Shymkent,premium,2022-01-19,blocked
36,Christina Cruz,369594406409,kimberly39@example.com,1993-02-28,Almaty,mass,2024-10-11,active
37,Лихачева Алина Константиновна,952145623285,jonathansummers@example.com,1993-01-23,Astana,mass,2024-09-18,active
38,Brenda Levy,160481754965,akim2004@example.net,1997-09-06,Almaty,mass,2025-05-07,active
39,Elizabeth Ortiz,047113826758,gmironova@example.com,2004-10-07,Atyrau,mass,2024-07-25,blocked
40,Jeremy Young,585064317139,,2005-10-07,Karaganda,affluent,2021-06-27,inactive
41,Гедеон Ааронович Егоров,842102053950,martinezrobert@example.org,2001-03-06,Atyrau,mass,2024-04-04,active
42,Ефрем Андреевич Артемьев,007661771159,egorovjaropolk@example.net,1986-04-30,Atyrau,premium,2023-11-22,inactive
43,Michael Farrell,736576615654,artem1975@example.org,1982-04-29,Almaty,mass,2023-08-05,inactive
44,Шилова Тамара Леоновна,560494519832,shestakovfedor@example.com,1984-06-18,Almaty,mass,2025-05-21,active
